fare_id,price,currency_type,payment_method,transfers,transfer_duration,agency_id
F10,10.0,INR,0,0,0,1
F100,100.0,INR,0,0,0,1
F105,105.0,INR,0,0,0,1
F107,107.0,INR,0,0,0,1
F11,11.0,INR,0,0,0,1
F110,110.0,INR,0,0,0,1
F116.5,116.5,INR,0,0,0,1
F12,12.0,INR,0,0,0,1
F120,120.0,INR,0,0,0,1
F125,125.0,INR,0,0,0,1
F126.5,126.5,INR,0,0,0,1
F130,130.0,INR,0,0,0,1
F139.5,139.5,INR,0,0,0,1
F140,140.0,INR,0,0,0,1
F145,145.0,INR,0,0,0,1
F15,15.0,INR,0,0,0,1
F150,150.0,INR,0,0,0,1
F155,155.0,INR,0,0,0,1
F157,157.0,INR,0,0,0,1
F16,16.0,INR,0,0,0,1
F160,160.0,INR,0,0,0,1
F162,162.0,INR,0,0,0,1
F165,165.0,INR,0,0,0,1
F167,167.0,INR,0,0,0,1
F17,17.0,INR,0,0,0,1
F170,170.0,INR,0,0,0,1
F176.5,176.5,INR,0,0,0,1
F18,18.0,INR,0,0,0,1
F185,185.0,INR,0,0,0,1
F187,187.0,INR,0,0,0,1
F190,190.0,INR,0,0,0,1
F192,192.0,INR,0,0,0,1
F196.5,196.5,INR,0,0,0,1
F20,20.0,INR,0,0,0,1
F201.5,201.5,INR,0,0,0,1
F21,21.0,INR,0,0,0,1
F210,210.0,INR,0,0,0,1
F215,215.0,INR,0,0,0,1
F22,22.0,INR,0,0,0,1
F220,220.0,INR,0,0,0,1
F221.5,221.5,INR,0,0,0,1
F23,23.0,INR,0,0,0,1
F230,230.0,INR,0,0,0,1
F235,235.0,INR,0,0,0,1
F24,24.0,INR,0,0,0,1
F245,245.0,INR,0,0,0,1
F25,25.0,INR,0,0,0,1
F251.5,251.5,INR,0,0,0,1
F255,255.0,INR,0,0,0,1
F256.5,256.5,INR,0,0,0,1
F26,26.0,INR,0,0,0,1
F260,260.0,INR,0,0,0,1
F265,265.0,INR,0,0,0,1
F266.5,266.5,INR,0,0,0,1
F27,27.0,INR,0,0,0,1
F270,270.0,INR,0,0,0,1
F275,275.0,INR,0,0,0,1
F28,28.0,INR,0,0,0,1
F280,280.0,INR,0,0,0,1
F281.5,281.5,INR,0,0,0,1
F285,285.0,INR,0,0,0,1
F29,29.0,INR,0,0,0,1
F290,290.0,INR,0,0,0,1
F292,292.0,INR,0,0,0,1
F30,30.0,INR,0,0,0,1
F301.5,301.5,INR,0,0,0,1
F305,305.0,INR,0,0,0,1
F306.5,306.5,INR,0,0,0,1
F31,31.0,INR,0,0,0,1
F311.5,311.5,INR,0,0,0,1
F315,315.0,INR,0,0,0,1
F32,32.0,INR,0,0,0,1
F322,322.0,INR,0,0,0,1
F33,33.0,INR,0,0,0,1
F335,335.0,INR,0,0,0,1
F34,34.0,INR,0,0,0,1
F342,342.0,INR,0,0,0,1
F35,35.0,INR,0,0,0,1
F352,352.0,INR,0,0,0,1
F36,36.0,INR,0,0,0,1
F365,365.0,INR,0,0,0,1
F37,37.0,INR,0,0,0,1
F371.5,371.5,INR,0,0,0,1
F372,372.0,INR,0,0,0,1
F375,375.0,INR,0,0,0,1
F38,38.0,INR,0,0,0,1
F39,39.0,INR,0,0,0,1
F40,40.0,INR,0,0,0,1
F402,402.0,INR,0,0,0,1
F405,405.0,INR,0,0,0,1
F411.5,411.5,INR,0,0,0,1
F42,42.0,INR,0,0,0,1
F43,43.0,INR,0,0,0,1
F44,44.0,INR,0,0,0,1
F441.5,441.5,INR,0,0,0,1
F45,45.0,INR,0,0,0,1
F47,47.0,INR,0,0,0,1
F48,48.0,INR,0,0,0,1
F5,5.0,INR,0,0,0,1
F50,50.0,INR,0,0,0,1
F53,53.0,INR,0,0,0,1
F55,55.0,INR,0,0,0,1
F57,57.0,INR,0,0,0,1
F58,58.0,INR,0,0,0,1
F59,59.0,INR,0,0,0,1
F6,6.0,INR,0,0,0,1
F60,60.0,INR,0,0,0,1
F63,63.0,INR,0,0,0,1
F65,65.0,INR,0,0,0,1
F66.5,66.5,INR,0,0,0,1
F70,70.0,INR,0,0,0,1
F75,75.0,INR,0,0,0,1
F76.5,76.5,INR,0,0,0,1
F80,80.0,INR,0,0,0,1
F85,85.0,INR,0,0,0,1
F87,87.0,INR,0,0,0,1
F9,9.0,INR,0,0,0,1
F90,90.0,INR,0,0,0,1
F95,95.0,INR,0,0,0,1
F96.5,96.5,INR,0,0,0,1
