fare_id,route_id,origin_id,destination_id
F10,nan,BDD,D36G
F10,nan,BDD,TGDND1
F10,nan,BDD,VRSBVTP
F10,nan,BDDRS1,D36G
F10,nan,BDDRS1,TGDND1
F10,nan,BDDRS1,VRSBVTP
F10,nan,CRYNHL,CRYNHL
F10,nan,CRYNHL,JYTNR
F10,nan,CRYNHL,KLYG
F10,nan,CRYNHL,KLYMR
F10,nan,CRYNHL,MGD
F10,nan,CRYNHL,MGDSC
F10,nan,D36G,BDD
F10,nan,D36G,BDDRS1
F10,nan,D36G,KMPDG
F10,nan,D36G,MDNHL7
F10,nan,D36G,SMT2
F10,nan,GDHN,KRNHL
F10,nan,GDHN,SGHL78
F10,nan,JYTNR,CRYNHL
F10,nan,JYTNR,JYTNR
F10,nan,JYTNR,KLYG
F10,nan,JYTNR,KLYMR
F10,nan,JYTNR,MGD
F10,nan,JYTNR,MGDSC
F10,nan,KLR7,SVNSD
F10,nan,KLYG,CRYNHL
F10,nan,KLYG,JYTNR
F10,nan,KLYG,KLYG
F10,nan,KLYG,KLYMR
F10,nan,KLYG,MGD
F10,nan,KLYG,MGDSC
F10,nan,KLYMR,CRYNHL
F10,nan,KLYMR,JYTNR
F10,nan,KLYMR,KLYG
F10,nan,KLYMR,KLYMR
F10,nan,KLYMR,MGD
F10,nan,KLYMR,MGDSC
F10,nan,KMPDG,D36G
F10,nan,KMPDG,TGDND1
F10,nan,KMPDG,VRSBVTP
F10,nan,KRNHL,GDHN
F10,nan,MDNHL7,D36G
F10,nan,MGD,CRYNHL
F10,nan,MGD,JYTNR
F10,nan,MGD,KLYG
F10,nan,MGD,KLYMR
F10,nan,MGD,MGDSC
F10,nan,MGDSC,CRYNHL
F10,nan,MGDSC,JYTNR
F10,nan,MGDSC,KLYG
F10,nan,MGDSC,KLYMR
F10,nan,MGDSC,MGD
F10,nan,MGDSC,MGDSC
F10,nan,MLSDR7,MLSDR7
F10,nan,MLSDR7,MRR1
F10,nan,MLSDR7,MRRHP1
F10,nan,MLSDR7,SVNSD
F10,nan,MRR1,MLSDR7
F10,nan,MRR1,MRR1
F10,nan,MRR1,MRRHP1
F10,nan,MRR1,SVNSD
F10,nan,MRRHP1,MLSDR7
F10,nan,MRRHP1,MRR1
F10,nan,MRRHP1,MRRHP1
F10,nan,MRRHP1,SVNSD
F10,nan,SGHL78,GDHN
F10,nan,SMT2,D36G
F10,nan,SVNSD,KLR7
F10,nan,SVNSD,MLSDR7
F10,nan,SVNSD,MRR1
F10,nan,SVNSD,MRRHP1
F10,nan,TGDND1,BDD
F10,nan,TGDND1,BDDRS1
F10,nan,TGDND1,KMPDG
F10,nan,VRSBVTP,BDD
F10,nan,VRSBVTP,BDDRS1
F10,nan,VRSBVTP,KMPDG
F100,nan,ALRSA,BTLSUR
F100,nan,ALRSA,HNMHF
F100,nan,ALRSA,IAFF1
F100,nan,BTLSUR,ALRSA
F100,nan,HNMHF,ALRSA
F100,nan,IAFF1,ALRSA
F100,1698,AECSL-1,BTLSUR
F100,1698,AECSL-1,CKJLAF
F100,1698,AECSL-1,SDHG2
F100,1698,AIRTP,KDLGTE
F100,1698,AIRTP,MTHB-1
F100,1698,GRPI,BTLSUR
F100,1698,GRPI,CKJLAF
F100,1698,GRPI,HNMHF
F100,1698,HALAMG,CRKIA
F100,1698,HALAMG,DHFL
F100,1698,HALAMG,KIAL
F100,1698,HALPS1,CRKIA
F100,1698,HALPS1,DHFL
F100,1698,HALPS1,KIAL
F100,1698,KDLGTE,CRKIA
F100,1698,KDLGTE,DHFL
