stop_name,parent_station,zone_id,stop_id,stop_desc,stop_lat,stop_lon,location_type,platform_code
12th Block Nagarabhavi,nan,NBV12B,21629,12th Block Nagarabhavi (Towards AIT College),12.96018,77.51398,,nan
12th Block Nagarabhavi,nan,NBV12B,21630,12th Block Nagarabhavi (Towards Nagarabhavi Circle),12.96076,77.51351,,nan
14th Main HSR Layout,nan,HSR  14,20568,14th Main HSR Layout (Towards Hebbala),12.91637,77.63472,,nan
18th Main Jayanagara,nan,JNR18M,22890,18th Main Jayanagara (Towards Jayanagara 4th Block),12.92328,77.58898,,nan
19th Main 13th Cross HSR Layout,nan,HSR13,22891,19th Main 13th Cross HSR Layout (Towards Parangipalya),12.91593,77.65176,,nan
19th Main 13th Cross HSR Layout,nan,HSR13,24300,19th Main 13th Cross HSR Layout (Towards Agara Junction),12.91582,77.65175,,nan
1st Main Kodichikkanahalli,nan,KDCH1M,29393,1st Main Kodichikkanahalli (Towards Kodichikkanahalli),12.89854,77.61543,,nan
1st Main Kodichikkanahalli,nan,KDCH1M,35599,1st Main Kodichikkanahalli (Towards Vijaya Bank Layout),12.89847,77.6155,,nan
1st Stage 3rd Block Nagarabhavi (Nayandahalli),nan,NBF1B1,22896,1st Stage 3rd Block Nagarabhavi (Nayandahalli) (Towards Nayandahalli),12.95302,77.52026,,nan
1st Stage 3rd Block Nagarabhavi (Summanahalli),nan,NBF1B1,22897,1st Stage 3rd Block Nagarabhavi (Summanahalli) (Towards Summanahalli),12.95286,77.52017,,nan
2nd Stage 9th Block Nagarabhavi,nan,NBV10th,35595,2nd Stage 9th Block Nagarabhavi (Towards 2nd Stage 9th Block Nagarabhavi),12.9695,77.50927,,nan
3rd Block Jayanagara,nan,JNR3B,21446,3rd Block Jayanagara (Towards South End Circle),12.9318,77.58393,,nan
3rd Block Jayanagara,nan,JNR3B,21447,3rd Block Jayanagara (Towards Jayanagara 4th Block),12.93349,77.58396,,nan
4th Phase Yelahanka New Town Iyengar Bakery,nan,YLHNKA4,29407,4th Phase Yelahanka New Town Iyengar Bakery (Towards Yalahanka 5th Phase),13.10426,77.57,,nan
5th Block HBR Layout,nan,HBRL5,29409,5th Block HBR Layout (Towards Hennur Cross),13.03585,77.63142,,nan
