trip_id,route_id,start_stop,end_stop,start_sequence,end_sequence,affected_segments,num_segments,localization_score,estimated_revenue_gap_inr,confidence,total_passenger_gap,total_revenue_gap,total_estimated_loss,localization_confidence
1,991,20921_PF5,32209,1,12,"['991_1_1_20921_PF5_20603', '991_1_2_20603_35303', '991_1_3_35303_20702', '991_1_4_20702_20990', '991_1_5_20990_20751', '991_1_6_20751_20810', '991_1_7_20810_21007', '991_1_8_21007_21049', '991_1_9_21049_21027', '991_1_10_21027_21164', '991_1_11_21164_33636', '991_1_12_33636_32209']",12,0.6935,321.55,0.7975,0.0,321.55,321.55,0.7975
10,991,20921_PF5,20702,1,3,"['991_10_1_20921_PF5_20603', '991_10_2_20603_35303', '991_10_3_35303_20702']",3,0.5005,57.55,0.5756,0.0,57.55,57.55,0.5756
100,991,24379,20921_PF5,1,11,"['991_100_1_24379_33635', '991_100_2_33635_21165', '991_100_3_21165_21028', '991_100_4_21028_21051', '991_100_5_21051_21008', '991_100_6_21008_20811', '991_100_7_20811_20752', '991_100_8_20752_20991', '991_100_9_20991_20971', '991_100_10_20971_20703', '991_100_11_20703_20921_PF5']",11,0.8754,389.22,0.99,0.0,389.22,389.22,0.99
1000,998,20940,21231,1,1,['998_1000_1_20940_21231'],1,0.2798,80.42,0.4,0.0,80.42,80.42,0.4
10003,1324,21172,22645_PF3,1,41,"['1324_10003_1_21172_22068', '1324_10003_2_22068_21869', '1324_10003_3_21869_22585', '1324_10003_4_22585_21704', '1324_10003_5_21704_21859', '1324_10003_6_21859_21912', '1324_10003_7_21912_21801', '1324_10003_8_21801_22378', '1324_10003_9_22378_22318', '1324_10003_10_22318_22401', '1324_10003_11_22401_22596', '1324_10003_12_22596_22135', '1324_10003_13_22135_22172', '1324_10003_14_22172_21656', '1324_10003_15_21656_21976', '1324_10003_16_21976_21966', '1324_10003_17_21966_22326', '1324_10003_18_22326_35837', '1324_10003_19_35837_22383', '1324_10003_20_22383_22600', '1324_10003_21_22600_22461', '1324_10003_22_22461_21667', '1324_10003_23_21667_22540', '1324_10003_24_22540_21777', '1324_10003_25_21777_22125', '1324_10003_26_22125_22429', '1324_10003_27_22429_22187', '1324_10003_28_22187_22366', '1324_10003_29_22366_21847', '1324_10003_30_21847_22556', '1324_10003_31_22556_27778', '1324_10003_32_27778_38787', '1324_10003_33_38787_21739', '1324_10003_34_21739_22088', '1324_10003_35_22088_22514', '1324_10003_36_22514_22182', '1324_10003_37_22182_22458', '1324_10003_38_22458_22267', '1324_10003_39_22267_22185', '1324_10003_40_22185_22645_PF3', '1324_10003_41_22645_PF3_22645_PF3']",41,0.5986,339.13,0.6884,0.0,339.13,339.13,0.6884
10005,1324,21172,22645_PF3,1,41,"['1324_10005_1_21172_22068', '1324_10005_2_22068_21869', '1324_10005_3_21869_22585', '1324_10005_4_22585_21704', '1324_10005_5_21704_21859', '1324_10005_6_21859_21912', '1324_10005_7_21912_21801', '1324_10005_8_21801_22378', '1324_10005_9_22378_22318', '1324_10005_10_22318_22401', '1324_10005_11_22401_22596', '1324_10005_12_22596_22135', '1324_10005_13_22135_22172', '1324_10005_14_22172_21656', '1324_10005_15_21656_21976', '1324_10005_16_21976_21966', '1324_10005_17_21966_22326', '1324_10005_18_22326_35837', '1324_10005_19_35837_22383', '1324_10005_20_22383_22600', '1324_10005_21_22600_22461', '1324_10005_22_22461_21667', '1324_10005_23_21667_22540', '1324_10005_24_22540_21777', '1324_10005_25_21777_22125', '1324_10005_26_22125_22429', '1324_10005_27_22429_22187', '1324_10005_28_22187_22366', '1324_10005_29_22366_21847', '1324_10005_30_21847_22556', '1324_10005_31_22556_27778', '1324_10005_32_27778_38787', '1324_10005_33_38787_21739', '1324_10005_34_21739_22088', '1324_10005_35_22088_22514', '1324_10005_36_22514_22182', '1324_10005_37_22182_22458', '1324_10005_38_22458_22267', '1324_10005_39_22267_22185', '1324_10005_40_22185_22645_PF3', '1324_10005_41_22645_PF3_22645_PF3']",41,0.6472,315.13,0.7443,0.0,315.13,315.13,0.7443
10007,1324,21172,22645_PF3,1,41,"['1324_10007_1_21172_22068', '1324_10007_2_22068_21869', '1324_10007_3_21869_22585', '1324_10007_4_22585_21704', '1324_10007_5_21704_21859', '1324_10007_6_21859_21912', '1324_10007_7_21912_21801', '1324_10007_8_21801_22378', '1324_10007_9_22378_22318', '1324_10007_10_22318_22401', '1324_10007_11_22401_22596', '1324_10007_12_22596_22135', '1324_10007_13_22135_22172', '1324_10007_14_22172_21656', '1324_10007_15_21656_21976', '1324_10007_16_21976_21966', '1324_10007_17_21966_22326', '1324_10007_18_22326_35837', '1324_10007_19_35837_22383', '1324_10007_20_22383_22600', '1324_10007_21_22600_22461', '1324_10007_22_22461_21667', '1324_10007_23_21667_22540', '1324_10007_24_22540_21777', '1324_10007_25_21777_22125', '1324_10007_26_22125_22429', '1324_10007_27_22429_22187', '1324_10007_28_22187_22366', '1324_10007_29_22366_21847', '1324_10007_30_21847_22556', '1324_10007_31_22556_27778', '1324_10007_32_27778_38787', '1324_10007_33_38787_21739', '1324_10007_34_21739_22088', '1324_10007_35_22088_22514', '1324_10007_36_22514_22182', '1324_10007_37_22182_22458', '1324_10007_38_22458_22267', '1324_10007_39_22267_22185', '1324_10007_40_22185_22645_PF3', '1324_10007_41_22645_PF3_22645_PF3']",41,0.6459,312.13,0.7428,0.0,312.13,312.13,0.7428
1001,998,20940,21173,1,6,"['998_1001_1_20940_21231', '998_1001_2_21231_20726', '998_1001_3_20726_22317', '998_1001_4_22317_22286', '998_1001_5_22286_21572', '998_1001_6_21572_21173']",6,0.8855,214.01,0.99,0.0,214.01,214.01,0.99
10011,1324,21172,22645_PF3,1,41,"['1324_10011_1_21172_22068', '1324_10011_2_22068_21869', '1324_10011_3_21869_22585', '1324_10011_4_22585_21704', '1324_10011_5_21704_21859', '1324_10011_6_21859_21912', '1324_10011_7_21912_21801', '1324_10011_8_21801_22378', '1324_10011_9_22378_22318', '1324_10011_10_22318_22401', '1324_10011_11_22401_22596', '1324_10011_12_22596_22135', '1324_10011_13_22135_22172', '1324_10011_14_22172_21656', '1324_10011_15_21656_21976', '1324_10011_16_21976_21966', '1324_10011_17_21966_22326', '1324_10011_18_22326_35837', '1324_10011_19_35837_22383', '1324_10011_20_22383_22600', '1324_10011_21_22600_22461', '1324_10011_22_22461_21667', '1324_10011_23_21667_22540', '1324_10011_24_22540_21777', '1324_10011_25_21777_22125', '1324_10011_26_22125_22429', '1324_10011_27_22429_22187', '1324_10011_28_22187_22366', '1324_10011_29_22366_21847', '1324_10011_30_21847_22556', '1324_10011_31_22556_27778', '1324_10011_32_27778_38787', '1324_10011_33_38787_21739', '1324_10011_34_21739_22088', '1324_10011_35_22088_22514', '1324_10011_36_22514_22182', '1324_10011_37_22182_22458', '1324_10011_38_22458_22267', '1324_10011_39_22267_22185', '1324_10011_40_22185_22645_PF3', '1324_10011_41_22645_PF3_22645_PF3']",41,0.6894,555.13,0.7928,0.0,555.13,555.13,0.7928
10012,1324,21172,22645_PF3,1,41,"['1324_10012_1_21172_22068', '1324_10012_2_22068_21869', '1324_10012_3_21869_22585', '1324_10012_4_22585_21704', '1324_10012_5_21704_21859', '1324_10012_6_21859_21912', '1324_10012_7_21912_21801', '1324_10012_8_21801_22378', '1324_10012_9_22378_22318', '1324_10012_10_22318_22401', '1324_10012_11_22401_22596', '1324_10012_12_22596_22135', '1324_10012_13_22135_22172', '1324_10012_14_22172_21656', '1324_10012_15_21656_21976', '1324_10012_16_21976_21966', '1324_10012_17_21966_22326', '1324_10012_18_22326_35837', '1324_10012_19_35837_22383', '1324_10012_20_22383_22600', '1324_10012_21_22600_22461', '1324_10012_22_22461_21667', '1324_10012_23_21667_22540', '1324_10012_24_22540_21777', '1324_10012_25_21777_22125', '1324_10012_26_22125_22429', '1324_10012_27_22429_22187', '1324_10012_28_22187_22366', '1324_10012_29_22366_21847', '1324_10012_30_21847_22556', '1324_10012_31_22556_27778', '1324_10012_32_27778_38787', '1324_10012_33_38787_21739', '1324_10012_34_21739_22088', '1324_10012_35_22088_22514', '1324_10012_36_22514_22182', '1324_10012_37_22182_22458', '1324_10012_38_22458_22267', '1324_10012_39_22267_22185', '1324_10012_40_22185_22645_PF3', '1324_10012_41_22645_PF3_22645_PF3']",41,0.6678,437.13,0.768,0.0,437.13,437.13,0.768
