segment_id,route_id,trip_id,date,from_stop,to_stop,stop_sequence,distance_km,boardings,alightings,passenger_load,segment_revenue_inr,synthetic_flag
991_1_1_20921_PF5_20603,991,1,2026-08-29,20921_PF5,20603,1,0.481,3,0,3,4.97,True
991_1_2_20603_35303,991,1,2026-08-29,20603,35303,2,0.761,2,0,5,7.47,True
991_1_3_35303_20702,991,1,2026-08-29,35303,20702,3,0.334,0,0,5,7.47,True
991_1_4_20702_20990,991,1,2026-08-29,20702,20990,4,0.823,4,1,8,12.89,True
991_1_5_20990_20751,991,1,2026-08-29,20990,20751,5,0.494,1,0,9,14.32,True
991_1_6_20751_20810,991,1,2026-08-29,20751,20810,6,0.371,1,1,9,13.24,True
991_1_7_20810_21007,991,1,2026-08-29,20810,21007,7,0.587,0,0,9,13.24,True
991_1_8_21007_21049,991,1,2026-08-29,21007,21049,8,0.758,0,1,8,11.82,True
991_1_9_21049_21027,991,1,2026-08-29,21049,21027,9,0.337,0,1,7,9.94,True
991_1_10_21027_21164,991,1,2026-08-29,21027,21164,10,0.47,2,1,8,10.77,True
991_1_11_21164_33636,991,1,2026-08-29,21164,33636,11,0.664,0,1,7,10.77,True
991_1_12_33636_32209,991,1,2026-08-29,33636,32209,12,0.573,0,4,3,3.1,True
991_10_1_20921_PF5_20603,991,10,2026-08-29,20921_PF5,20603,1,0.481,6,0,6,9.64,True
991_10_2_20603_35303,991,10,2026-08-29,20603,35303,2,0.761,5,0,11,18.11,True
991_10_3_35303_20702,991,10,2026-08-29,35303,20702,3,0.334,5,0,16,27.08,True
991_10_4_20702_20990,991,10,2026-08-29,20702,20990,4,0.823,2,0,18,31.24,True
991_10_5_20990_20751,991,10,2026-08-29,20990,20751,5,0.494,2,0,20,34.78,True
991_10_6_20751_20810,991,10,2026-08-29,20751,20810,6,0.371,4,0,24,42.05,True
991_10_7_20810_21007,991,10,2026-08-29,20810,21007,7,0.587,3,5,22,36.71,True
991_10_8_21007_21049,991,10,2026-08-29,21007,21049,8,0.758,3,3,22,36.21,True
991_10_9_21049_21027,991,10,2026-08-29,21049,21027,9,0.337,4,1,25,41.21,True
991_10_10_21027_21164,991,10,2026-08-29,21027,21164,10,0.47,2,3,24,39.78,True
991_10_11_21164_33636,991,10,2026-08-29,21164,33636,11,0.664,2,7,19,36.41,True
991_10_12_33636_32209,991,10,2026-08-29,33636,32209,12,0.573,1,6,14,30.77,True
991_100_1_24379_33635,991,100,2026-08-29,24379,33635,1,0.598,2,0,2,1.67,True
991_100_2_33635_21165,991,100,2026-08-29,33635,21165,2,0.651,0,0,2,1.67,True
991_100_3_21165_21028,991,100,2026-08-29,21165,21028,3,0.496,1,0,3,1.67,True
991_100_4_21028_21051,991,100,2026-08-29,21028,21051,4,0.623,0,0,3,1.67,True
991_100_5_21051_21008,991,100,2026-08-29,21051,21008,5,0.54,1,0,4,3.33,True
