ticket_id,trip_id,route_id,origin_stop_id,dest_stop_id,origin_stop_name,dest_stop_name,origin_sequence,dest_sequence,distance_km,fare_inr,passenger_count,total_amount_inr,payment_mode,concession_type,timestamp,synthetic_flag
TKT_20260829_1_0001,1,991,20921_PF5,21007,Kempegowda Bus Station - Platform 5,Mariyappanapalya,1,8,3.851,10.0,1,10.0,cash,none,2026-08-29T05:19:51Z,True
TKT_20260829_1_0002,1,991,20921_PF5,21049,Kempegowda Bus Station - Platform 5,Navarang Theatre,1,9,4.609,15.0,1,15.0,cash,none,2026-08-29T05:20:43Z,True
TKT_20260829_1_0003,1,991,20921_PF5,21027,Kempegowda Bus Station - Platform 5,Modi Hospital,1,10,4.946,15.0,1,15.0,upi,none,2026-08-29T05:20:26Z,True
TKT_20260829_1_0004,1,991,20603,20702,Ananda Rao Circle,Central,2,4,1.095,5.0,1,5.0,cash,none,2026-08-29T05:22:57Z,True
TKT_20260829_1_0005,1,991,20603,21164,Ananda Rao Circle,Shankar Mutt,2,11,4.935,0.0,1,0.0,pass_card,daily_pass,2026-08-29T05:22:56Z,True
TKT_20260829_1_0006,1,991,20702,20751,Central,Devaiah Park,4,6,1.317,5.0,1,5.0,cash,none,2026-08-29T05:27:34Z,True
TKT_20260829_1_0007,1,991,20702,33636,Central,Kurubarahalli,4,12,4.504,15.0,1,15.0,cash,none,2026-08-29T05:28:03Z,True
TKT_20260829_1_0008,1,991,20702,33636,Central,Kurubarahalli,4,12,4.504,15.0,1,15.0,cash,none,2026-08-29T05:26:24Z,True
TKT_20260829_1_0009,1,991,20702,32209,Central,Cauvery Nagara,4,13,5.077,15.0,1,15.0,cash,none,2026-08-29T05:26:25Z,True
TKT_20260829_1_0010,1,991,20990,33636,Malleshwara Circle,Kurubarahalli,5,12,3.681,10.0,1,10.0,upi,none,2026-08-29T05:31:54Z,True
TKT_20260829_1_0011,1,991,20751,32209,Devaiah Park,Cauvery Nagara,6,13,3.76,10.0,1,10.0,cash,none,2026-08-29T05:33:10Z,True
TKT_20260829_1_0012,1,991,21027,33636,Modi Hospital,Kurubarahalli,10,12,1.134,5.0,1,5.0,upi,none,2026-08-29T05:41:26Z,True
TKT_20260829_1_0013,1,991,21027,32209,Modi Hospital,Cauvery Nagara,10,13,1.707,0.0,1,0.0,pass_card,daily_pass,2026-08-29T05:42:10Z,True
TKT_20260829_10_0001,10,991,20921_PF5,20810,Kempegowda Bus Station - Platform 5,Harishchandra Ghat,1,7,3.264,10.0,1,10.0,cash,none,2026-08-29T07:19:39Z,True
TKT_20260829_10_0002,10,991,20921_PF5,20810,Kempegowda Bus Station - Platform 5,Harishchandra Ghat,1,7,3.264,10.0,1,10.0,cash,none,2026-08-29T07:20:22Z,True
