trip_id,route_id,date,scheduled_start,total_passengers,total_revenue_inr,ticket_count,num_stops,cash_revenue_inr,upi_revenue_inr,pass_passenger_count,synthetic_flag
1,991,2026-08-29,05:20:00,13,120.0,13,13,90.0,30.0,2,True
10,991,2026-08-29,07:20:00,39,384.0,39,13,271.0,113.0,2,True
100,991,2026-08-29,05:25:00,7,35.0,7,12,35.0,0.0,2,True
1000,998,2026-08-29,20:25:00,52,365.0,42,7,260.0,105.0,4,True
10000,1324,2026-08-29,08:35:00,137,1624.0,132,42,1214.0,410.0,16,True
10001,1324,2026-08-29,08:40:00,129,1525.0,123,42,999.0,526.0,11,True
10002,1324,2026-08-29,08:45:00,131,1568.0,127,42,1103.0,465.0,16,True
10003,1324,2026-08-29,08:50:00,139,1695.0,134,42,1401.0,294.0,17,True
10004,1324,2026-08-29,08:55:00,138,1688.0,135,42,1205.0,483.0,16,True
10005,1324,2026-08-29,09:00:00,123,1494.0,119,42,1233.0,261.0,9,True
10006,1324,2026-08-29,09:05:00,138,1625.0,135,42,1088.0,537.0,16,True
10007,1324,2026-08-29,09:10:00,121,1497.0,118,42,1096.0,401.0,11,True
10008,1324,2026-08-29,09:15:00,122,1527.0,115,42,1127.0,400.0,16,True
10009,1324,2026-08-29,09:20:00,140,1703.0,139,42,1275.0,428.0,10,True
1001,998,2026-08-29,20:35:00,17,110.0,17,7,45.0,65.0,3,True
10010,1324,2026-08-29,09:30:00,136,1706.0,133,42,1261.0,445.0,13,True
10011,1324,2026-08-29,09:40:00,109,1254.0,107,42,987.0,267.0,12,True
10012,1324,2026-08-29,09:50:00,114,1372.0,114,42,863.0,509.0,11,True
10013,1324,2026-08-29,10:00:00,116,1376.0,114,42,985.0,391.0,10,True
10014,1324,2026-08-29,10:05:00,106,1289.0,104,42,988.0,301.0,10,True
10015,1324,2026-08-29,10:10:00,123,1554.0,122,42,1230.0,324.0,8,True
10016,1324,2026-08-29,10:15:00,103,1266.0,102,42,912.0,354.0,10,True
10017,1324,2026-08-29,10:20:00,104,1317.0,102,42,946.0,371.0,8,True
10018,1324,2026-08-29,10:40:00,13,164.0,13,42,149.0,15.0,2,True
10019,1324,2026-08-29,10:50:00,19,210.0,19,42,96.0,114.0,1,True
1002,998,2026-08-29,21:15:00,16,105.0,15,7,65.0,40.0,2,True
10020,1324,2026-08-29,11:05:00,55,681.0,55,42,532.0,149.0,1,True
10021,1324,2026-08-29,11:15:00,55,677.0,55,42,510.0,167.0,5,True
10022,1324,2026-08-29,11:25:00,61,745.0,61,42,594.0,151.0,5,True
10023,1324,2026-08-29,11:35:00,61,684.0,61,42,463.0,221.0,7,True
10024,1324,2026-08-29,11:40:00,61,779.0,60,42,586.0,193.0,7,True
10025,1324,2026-08-29,12:15:00,45,545.0,45,42,391.0,154.0,4,True
10026,1324,2026-08-29,12:25:00,67,809.0,64,42,605.0,204.0,4,True
10027,1324,2026-08-29,12:30:00,81,874.0,79,42,660.0,214.0,14,True
10028,1324,2026-08-29,12:40:00,55,712.0,55,42,476.0,236.0,2,True
10029,1324,2026-08-29,12:45:00,75,985.0,75,42,706.0,279.0,6,True
1003,998,2026-08-29,21:20:00,28,190.0,23,7,130.0,60.0,3,True
10030,1324,2026-08-29,12:55:00,58,600.0,56,42,443.0,157.0,10,True
10031,1324,2026-08-29,13:00:00,60,635.0,59,42,462.0,173.0,7,True
10032,1324,2026-08-29,13:05:00,61,800.0,58,42,556.0,244.0,2,True
10033,1324,2026-08-29,13:10:00,71,789.0,70,42,592.0,197.0,10,True
10034,1324,2026-08-29,13:15:00,66,660.0,66,42,502.0,158.0,12,True
10035,1324,2026-08-29,13:25:00,61,732.0,60,42,459.0,273.0,9,True
10036,1324,2026-08-29,13:30:00,52,584.0,52,42,425.0,159.0,5,True
10037,1324,2026-08-29,13:35:00,71,879.0,69,42,568.0,311.0,7,True
10038,1324,2026-08-29,13:40:00,62,825.0,62,42,573.0,252.0,3,True
10039,1324,2026-08-29,13:45:00,57,623.0,53,42,397.0,226.0,8,True
1004,998,2026-08-29,21:40:00,23,175.0,21,7,160.0,15.0,0,True
10040,1324,2026-08-29,13:55:00,71,855.0,69,42,652.0,203.0,8,True
10041,1324,2026-08-29,14:05:00,59,638.0,56,42,426.0,212.0,8,True
10042,1324,2026-08-29,14:10:00,62,678.0,60,42,485.0,193.0,5,True
10043,1324,2026-08-29,14:15:00,61,708.0,60,42,584.0,124.0,5,True
10044,1324,2026-08-29,14:25:00,62,800.0,61,42,567.0,233.0,5,True
10045,1324,2026-08-29,14:40:00,62,748.0,62,42,541.0,207.0,8,True
10046,1324,2026-08-29,14:50:00,62,799.0,62,42,538.0,261.0,6,True
10047,1324,2026-08-29,15:25:00,65,889.0,65,42,579.0,310.0,2,True
10048,1324,2026-08-29,15:35:00,67,801.0,67,42,520.0,281.0,9,True
10049,1324,2026-08-29,15:40:00,50,671.0,49,42,530.0,141.0,3,True
1005,998,2026-08-29,21:50:00,20,125.0,16,7,100.0,25.0,2,True
10050,1324,2026-08-29,15:45:00,53,645.0,52,42,459.0,186.0,4,True
10051,1324,2026-08-29,15:50:00,53,610.0,53,42,389.0,221.0,5,True
10052,1324,2026-08-29,15:55:00,73,781.0,71,42,572.0,209.0,14,True
10053,1324,2026-08-29,16:00:00,61,772.0,61,42,530.0,242.0,6,True
10054,1324,2026-08-29,16:05:00,60,771.0,57,42,573.0,198.0,3,True
10055,1324,2026-08-29,16:10:00,56,653.0,56,42,464.0,189.0,7,True
10056,1324,2026-08-29,16:15:00,53,665.0,53,42,457.0,208.0,5,True
10057,1324,2026-08-29,16:20:00,61,755.0,61,42,487.0,268.0,3,True
10058,1324,2026-08-29,16:25:00,57,685.0,56,42,551.0,134.0,4,True
10059,1324,2026-08-29,16:30:00,105,1310.0,104,42,1020.0,290.0,7,True
1006,999,2026-08-29,07:05:00,47,523.0,45,28,349.0,174.0,4,True
10060,1324,2026-08-29,16:35:00,119,1537.0,115,42,1160.0,377.0,10,True
10061,1324,2026-08-29,16:40:00,84,1041.0,84,42,847.0,194.0,7,True
10062,1324,2026-08-29,16:45:00,123,1389.0,119,42,1006.0,383.0,13,True
10063,1324,2026-08-29,16:50:00,118,1335.0,115,42,1085.0,250.0,18,True
10064,1324,2026-08-29,16:55:00,115,1353.0,110,42,987.0,366.0,13,True
10065,1324,2026-08-29,17:00:00,120,1485.0,117,42,1120.0,365.0,10,True
10066,1324,2026-08-29,17:10:00,125,1493.0,121,42,1052.0,441.0,11,True
10067,1324,2026-08-29,17:15:00,129,1525.0,127,42,1139.0,386.0,15,True
10068,1324,2026-08-29,17:20:00,126,1524.0,122,42,1098.0,426.0,15,True
10069,1324,2026-08-29,17:40:00,134,1697.0,131,42,1204.0,493.0,8,True
1007,999,2026-08-29,08:05:00,83,914.0,83,28,696.0,218.0,13,True
10070,1324,2026-08-29,17:50:00,132,1535.0,128,42,1109.0,426.0,12,True
10071,1324,2026-08-29,18:00:00,138,1559.0,136,42,1154.0,405.0,22,True
10072,1324,2026-08-29,18:10:00,136,1555.0,132,42,1031.0,524.0,20,True
10073,1324,2026-08-29,18:20:00,139,1756.0,134,42,1364.0,392.0,14,True
10074,1324,2026-08-29,18:30:00,132,1545.0,128,42,953.0,592.0,15,True
10075,1324,2026-08-29,18:55:00,137,1678.0,135,42,1161.0,517.0,12,True
10076,1324,2026-08-29,19:00:00,138,1579.0,132,42,1225.0,354.0,15,True
10077,1324,2026-08-29,19:10:00,128,1526.0,126,42,1104.0,422.0,16,True
10078,1324,2026-08-29,19:20:00,140,1724.0,136,42,1231.0,493.0,13,True
10079,1324,2026-08-29,19:25:00,136,1654.0,136,42,1186.0,468.0,11,True
1008,999,2026-08-29,08:55:00,103,1169.0,100,28,871.0,298.0,7,True
10080,1324,2026-08-29,19:30:00,134,1650.0,126,42,1138.0,512.0,15,True
10081,1324,2026-08-29,19:35:00,137,1519.0,131,42,1052.0,467.0,19,True
10082,1324,2026-08-29,19:40:00,106,1282.0,106,42,792.0,490.0,8,True
10083,1324,2026-08-29,19:45:00,136,1552.0,133,42,1051.0,501.0,16,True
10084,1324,2026-08-29,19:50:00,132,1592.0,126,42,1047.0,545.0,13,True
10085,1324,2026-08-29,19:55:00,115,1270.0,109,42,930.0,340.0,16,True
10086,1324,2026-08-29,20:00:00,102,1208.0,99,42,820.0,388.0,9,True
10087,1324,2026-08-29,20:10:00,107,1170.0,107,42,855.0,315.0,13,True
10088,1324,2026-08-29,20:15:00,128,1589.0,122,42,1152.0,437.0,10,True
10089,1324,2026-08-29,20:20:00,101,1326.0,99,42,921.0,405.0,5,True
1009,999,2026-08-29,09:40:00,98,1027.0,97,28,802.0,225.0,13,True
10090,1324,2026-08-29,20:25:00,95,1221.0,93,42,692.0,529.0,10,True
10091,1324,2026-08-29,20:30:00,124,1479.0,123,42,939.0,540.0,12,True
10092,1324,2026-08-29,20:45:00,46,630.0,45,42,522.0,108.0,0,True
10093,1324,2026-08-29,21:20:00,30,335.0,30,42,226.0,109.0,6,True
10094,1324,2026-08-29,21:30:00,48,525.0,47,42,353.0,172.0,7,True
